what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.properties",1338574440624
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338574440651
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338574445178
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338574445946
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338574448949
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338574449610
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1338574454817
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1338574458801
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1338574460146
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338574465249
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338574528584
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1338574528757
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338574540935
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338574578006
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1338574578084
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338574585203
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAs",1338574587773
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338574587797
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1338574589112
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338574593762
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338574601298
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338574606539
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338574608089
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338574618000
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338574620964
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1338574634848
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.format",1338574635036
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1338574637004
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338574653777
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1338574698990
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1338574698991
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338574699006
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338574700157
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338574734555
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1338574736350
started,bundle,org.eclipse.equinox.p2.ui,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.ui",1338574736367
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.update",1338574737714
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20111128-0624,"org.eclipse.equinox.p2.transport.ecf",1338574737721
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1338574737734
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1338574737751
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1338574737782
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1338574737787
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1338574737805
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338574738098
started,bundle,org.eclipse.equinox.p2.director,2.1.1.v20111126-0211,"org.eclipse.equinox.p2.director",1338574761770
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1338574761788
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.100.v20110815-1419,"org.eclipse.equinox.p2.extensionlocation",1338574761797
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.101.v20110815-1419,"org.eclipse.equinox.p2.artifact.repository",1338574761825
started,bundle,org.eclipse.equinox.p2.publisher,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.publisher",1338574761860
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.1.1.v20110815-1419,"org.eclipse.equinox.p2.touchpoint.eclipse",1338574761867
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338574767156
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338574771373
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.customizePerspective",1338574818768
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338574818807
activated,view,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.CView",1338574833042
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1338574834493
activated,view,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.CView",1338574835207
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1338574835784
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338574892907
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338574898931
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338574901504
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338574907564
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338574919921
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338574923177
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338574923569
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338575001290
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338575005704
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338575006502
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338575007837
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338575008535
